key,en,de
header:skip_link,Skip to main content, Zum Hauptinhalt springen
header:alpha,Alpha,Alpha-Version
header:disclaimer,"This is a development website. We welcome your <a href=""mailto:%email_address"">feedback</a>.",Diese Seite befindet sich im Entwicklungsstadium.Wir freuen uns über Ihre Kommentare.
header:tag_line,17 Goals to Transform our World,
header:high_contrast,High contrast,Hoher kontrast
header:default_contrast,Default contrast,Standard kontrast
header:enable_high_contrast,Enable high contrast,Aktivieren Sie hohen Kontrast
header:disable_high_contrast,Disable high contrast,Hoher Kontrast deaktivieren
post:posts_by_category,Posts by Category,Beiträge geordnet nach Kategorien
post:view_all_in_category,View all posts in the %category_name category, Zeige alle Beiträge in der %category_name Kategorie an
metadata_fields:other_info,Other information,Weitere Informationen
metadata_fields:computation_calculations,Calculations,Methodik
metadata_fields:computation_definitions,Definitions,Definitionen
metadata_fields:computation_units,Unit of measurement,Einheit
metadata_fields:goal_meta_link,Link to UN metadata,Link zu den globalen Metadaten
metadata_fields:indicator,Indicator number,Indikatorennummerierung
metadata_fields:indicator_definition,Global indicator description,Globale Indikatorenbeschreibung
metadata_fields:indicator_name,Indicator name,Indikatorenbezeichnung
metadata_fields:indicator_sort_order,Indicator display order (within Goal page),Indikatorenreihenfolge (in der Zielübersicht)
metadata_fields:national_data_update_url,Data last updated,Daten zuletzt aktualisiert am
metadata_fields:national_geographical_coverage,Geographical coverage,Geographische Abdeckung
metadata_fields:national_indicator_available,Indicator available,Verfügbare Datenreihenbezeichnung
metadata_fields:national_indicator_description,Indicator description,Indikatorenbeschreibung
metadata_fields:national_metadata_update_url,Metadata last updated,Metadaten zuletzt aktualisiert am
metadata_fields:source_contact_1,Contact details,Kontaktinformationen
metadata_fields:source_contact_2,Contact details,Kontaktinformationen
metadata_fields:source_contact_3,Contact details,Kontaktinformationen
metadata_fields:source_contact_4,Contact details,Kontaktinformationen
metadata_fields:source_contact_5,Contact details,Kontaktinformationen
metadata_fields:source_contact_6,Contact details,Kontaktinformationen
metadata_fields:source_earliest_available_1,Earliest available data,Daten verfügbar seit
metadata_fields:source_earliest_available_2,Earliest available data,Daten verfügbar seit
metadata_fields:source_earliest_available_3,Earliest available data,Daten verfügbar seit
metadata_fields:source_earliest_available_4,Earliest available data,Daten verfügbar seit
metadata_fields:source_earliest_available_5,Earliest available data,Daten verfügbar seit
metadata_fields:source_earliest_available_6,Earliest available data,Daten verfügbar seit
metadata_fields:source_geographical_coverage_1,Geographical coverage,Geographische Abdeckung
metadata_fields:source_geographical_coverage_2,Geographical coverage,Geographische Abdeckung
metadata_fields:source_geographical_coverage_3,Geographical coverage,Geographische Abdeckung
metadata_fields:source_geographical_coverage_4,Geographical coverage,Geographische Abdeckung
metadata_fields:source_geographical_coverage_5,Geographical coverage,Geographische Abdeckung
metadata_fields:source_geographical_coverage_6,Geographical coverage,Geographische Abdeckung
metadata_fields:source_next_release_1,Next release,Nächste Veröffentlichung am
metadata_fields:source_next_release_2,Next release,Nächste Veröffentlichung am
metadata_fields:source_next_release_3,Next release,Nächste Veröffentlichung am
metadata_fields:source_next_release_4,Next release,Nächste Veröffentlichung am
metadata_fields:source_next_release_5,Next release,Nächste Veröffentlichung am
metadata_fields:source_next_release_6,Next release,Nächste Veröffentlichung am
metadata_fields:source_organisation_1,Organisation,Organisation
metadata_fields:source_organisation_2,Organisation,Organisation
metadata_fields:source_organisation_3,Organisation,Organisation
metadata_fields:source_organisation_4,Organisation,Organisation
metadata_fields:source_organisation_5,Organisation,Organisation
metadata_fields:source_organisation_6,Organisation,Organisation
metadata_fields:source_other_info_1,Other information,Weitere Informationen
metadata_fields:source_other_info_2,Other information,Weitere Informationen
