key,en,kk
header:skip_link,Skip to main content,Басты мазмұнына өту
header:alpha,Alpha,Альфа
header:disclaimer,"This is a development website. We welcome your <a href=""mailto:%email_address"">feedback</a>.",Бұл сайт әзірленуде. Біз сіздердің пікірлеріңізге қуаныштымыз
header:tag_line,17 Goals to Transform our World,Біздің өмірді көркейту үшін 17 мақсат
header:high_contrast,High contrast,жоғары контраст
header:default_contrast,Default contrast,әдепкі контраст
header:enable_high_contrast,Enable high contrast,Жоғары контрастты қосыңыз
header:disable_high_contrast,Disable high contrast,Жоғары контрастты ажыратыңыз
post:posts_by_category,Posts by Category,Санат бойынша жарияланымдар
post:view_all_in_category,View all posts in the %category_name category,Барлық жарияланымдарды санаттарда қарастыру
metadata_fields:other_info,Other information,Басқа ақпарат
metadata_fields:computation_calculations,Calculations,Есептеулер
metadata_fields:computation_definitions,Definitions,Анықтама
metadata_fields:computation_units,Unit of measurement,Өлшем бірлігі
metadata_fields:goal_meta_link,Link to UN metadata,БҰҰ метадеректеріне сілтеме
metadata_fields:indicator,Indicator number,Көрсеткіштің нөмірі
metadata_fields:indicator_definition,Global indicator description,Жаһандық көрсеткіштің сипаттамасы
metadata_fields:indicator_name,Indicator name,Көрсеткіштің атауы
metadata_fields:indicator_sort_order,Indicator display order (within Goal page),Көрсеткіштердің бейне тәртібі (мақсаттар парақшасында)
metadata_fields:national_data_update_url,Data last updated,Деректер соңғы рет жаңартылды
metadata_fields:national_geographical_coverage,Geographical coverage,Географиялық қамту
metadata_fields:national_indicator_available,Indicator available,Көрсеткіш қолжетімді
metadata_fields:national_indicator_description,Indicator description,Көрсеткіштің сипаттамасы
metadata_fields:national_metadata_update_url,Metadata last updated,Метадеректер соңғы рет жаңартылды
metadata_fields:source_contact_1,Contact details,Байланысу ақпараты
metadata_fields:source_contact_2,Contact details,Байланысу ақпараты
metadata_fields:source_contact_3,Contact details,Байланысу ақпараты
metadata_fields:source_contact_4,Contact details,Байланысу ақпараты
metadata_fields:source_contact_5,Contact details,Байланысу ақпараты
metadata_fields:source_contact_6,Contact details,Байланысу ақпараты
metadata_fields:source_earliest_available_1,Earliest available data,Ең ерте қолжетімді деректер
metadata_fields:source_earliest_available_2,Earliest available data,Ең ерте қолжетімді деректер
metadata_fields:source_earliest_available_3,Earliest available data,Ең ерте қолжетімді деректер
metadata_fields:source_earliest_available_4,Earliest available data,Ең ерте қолжетімді деректер
metadata_fields:source_earliest_available_5,Earliest available data,Ең ерте қолжетімді деректер
metadata_fields:source_earliest_available_6,Earliest available data,Ең ерте қолжетімді деректер
metadata_fields:source_geographical_coverage_1,Geographical coverage,Географиялық қамту
metadata_fields:source_geographical_coverage_2,Geographical coverage,Географиялық қамту
metadata_fields:source_geographical_coverage_3,Geographical coverage,Географиялық қамту
metadata_fields:source_geographical_coverage_4,Geographical coverage,Географиялық қамту
metadata_fields:source_geographical_coverage_5,Geographical coverage,Географиялық қамту
metadata_fields:source_geographical_coverage_6,Geographical coverage,Географиялық қамту
metadata_fields:source_next_release_1,Next release,Келесі жарияланым
metadata_fields:source_next_release_2,Next release,Келесі жарияланым
metadata_fields:source_next_release_3,Next release,Келесі жарияланым
metadata_fields:source_next_release_4,Next release,Келесі жарияланым
metadata_fields:source_next_release_5,Next release,Келесі жарияланым
metadata_fields:source_next_release_6,Next release,Келесі жарияланым
metadata_fields:source_organisation_1,Organisation,Ұйым
metadata_fields:source_organisation_2,Organisation,Ұйым
metadata_fields:source_organisation_3,Organisation,Ұйым
metadata_fields:source_organisation_4,Organisation,Ұйым
metadata_fields:source_organisation_5,Organisation,Ұйым
metadata_fields:source_organisation_6,Organisation,Ұйым
metadata_fields:source_other_info_1,Other information,Басқа ақпарат
metadata_fields:source_other_info_2,Other information,Басқа ақпарат
metadata_fields:source_other_info_3,Other information,Басқа ақпарат
metadata_fields:source_other_info_4,Other information,Басқа ақпарат
metadata_fields:source_other_info_5,Other information,Басқа ақпарат
