key,en,ru
header:skip_link,Skip to main content,Перейти к главному содержанию
header:alpha,Alpha,Альфа
header:disclaimer,"This is a development website. We welcome your <a href=""mailto:%email_address"">feedback</a>.",Это сайт находится в разработке. Мы рады вашим отзывам.
header:tag_line,17 Goals to Transform our World,"17 Целей, чтобы преобразовать наш мир"
header:high_contrast,High contrast,высокий контраст
header:default_contrast,Default contrast,стандартный контраст
header:enable_high_contrast,Enable high contrast,Включить высокую контрастность
header:disable_high_contrast,Disable high contrast,Отключить высокую контрастность
post:posts_by_category,Posts by Category,Посты по категории
post:view_all_in_category,View all posts in the %category_name category,Просмотреть все посты в категории
metadata_fields:other_info,Other information,Другая информация
metadata_fields:computation_calculations,Calculations,Расчёты
metadata_fields:computation_definitions,Definitions,Определения
metadata_fields:computation_units,Unit of measurement,Единица измерения
metadata_fields:goal_meta_link,Link to UN metadata,Ссылка на метаданные ООН
metadata_fields:indicator,Indicator number,Номер показателя
metadata_fields:indicator_definition,Global indicator description,Описание глобального показателя
metadata_fields:indicator_name,Indicator name,Название показателя
metadata_fields:indicator_sort_order,Indicator display order (within Goal page),Порядок отображения показателей (на странице целей)
metadata_fields:national_data_update_url,Data last updated,Последний раз данные обновлялись
metadata_fields:national_geographical_coverage,Geographical coverage,Географический охват
metadata_fields:national_indicator_available,Indicator available,Показатель доступен
metadata_fields:national_indicator_description,Indicator description,Описание показателя
metadata_fields:national_metadata_update_url,Metadata last updated, Последний раз метаданные обновлялись
metadata_fields:source_contact_1,Contact details,Контактные данные
metadata_fields:source_contact_2,Contact details,Контактные данные
metadata_fields:source_contact_3,Contact details,Контактные данные
metadata_fields:source_contact_4,Contact details,Контактные данные
metadata_fields:source_contact_5,Contact details,Контактные данные
metadata_fields:source_contact_6,Contact details,Контактные данные
metadata_fields:source_earliest_available_1,Earliest available data,Самые ранние доступные данные
metadata_fields:source_earliest_available_2,Earliest available data,Самые ранние доступные данные
metadata_fields:source_earliest_available_3,Earliest available data,Самые ранние доступные данные
metadata_fields:source_earliest_available_4,Earliest available data,Самые ранние доступные данные
metadata_fields:source_earliest_available_5,Earliest available data,Самые ранние доступные данные
metadata_fields:source_earliest_available_6,Earliest available data,Самые ранние доступные данные
metadata_fields:source_geographical_coverage_1,Geographical coverage,Географический охват
metadata_fields:source_geographical_coverage_2,Geographical coverage,Географический охват
metadata_fields:source_geographical_coverage_3,Geographical coverage,Географический охват
metadata_fields:source_geographical_coverage_4,Geographical coverage,Географический охват
metadata_fields:source_geographical_coverage_5,Geographical coverage,Географический охват
metadata_fields:source_geographical_coverage_6,Geographical coverage,Географический охват
metadata_fields:source_next_release_1,Next release,Следующий  выпуск
metadata_fields:source_next_release_2,Next release,Следующий  выпуск
metadata_fields:source_next_release_3,Next release,Следующий  выпуск
metadata_fields:source_next_release_4,Next release,Следующий  выпуск
metadata_fields:source_next_release_5,Next release,Следующий  выпуск
metadata_fields:source_next_release_6,Next release,Следующий  выпуск
metadata_fields:source_organisation_1,Organisation,Организация
metadata_fields:source_organisation_2,Organisation,Организация
metadata_fields:source_organisation_3,Organisation,Организация
metadata_fields:source_organisation_4,Organisation,Организация
metadata_fields:source_organisation_5,Organisation,Организация
metadata_fields:source_organisation_6,Organisation,Организация
metadata_fields:source_other_info_1,Other information,Другая информация
metadata_fields:source_other_info_2,Other information,Другая информация
metadata_fields:source_other_info_3,Other information,Другая информация
metadata_fields:source_other_info_4,Other information,Другая информация
metadata_fields:source_other_info_5,Other information,Другая информация
metadata_fields:source_other_info_6,Other information,Другая информация
metadata_fields:source_periodicity_1,Periodicity,Периодичность
metadata_fields:source_periodicity_2,Periodicity,Периодичность
metadata_fields:source_periodicity_3,Periodicity,Периодичность
metadata_fields:source_periodicity_4,Periodicity,Периодичность
metadata_fields:source_periodicity_5,Periodicity,Периодичность
metadata_fields:source_periodicity_6,Periodicity,Периодичность
metadata_fields:source_release_date_1,Release date,Дата выпуска
metadata_fields:source_release_date_2,Release date,Дата выпуска
metadata_fields:source_release_date_3,Release date,Дата выпуска
metadata_fields:source_release_date_4,Release date,Дата выпуска
metadata_fields:source_release_date_5,Release date,Дата выпуска
metadata_fields:source_release_date_6,Release date,Дата выпуска
metadata_fields:source_statistical_classification_1,Statistical classification,Статистическая классификация
metadata_fields:source_statistical_classification_2,Statistical classification,Статистическая классификация
metadata_fields:source_statistical_classification_3,Statistical classification,Статистическая классификация
metadata_fields:source_statistical_classification_4,Statistical classification,Статистическая классификация
metadata_fields:source_statistical_classification_5,Statistical classification,Статистическая классификация
metadata_fields:source_statistical_classification_6,Statistical classification,Статистическая классификация
metadata_fields:source_url_1,Link to data source,Ссылка на источник данных
metadata_fields:source_url_2,Link to data source,Ссылка на источник данных
metadata_fields:source_url_3,Link to data source,Ссылка на источник данных
metadata_fields:source_url_4,Link to data source,Ссылка на источник данных
metadata_fields:source_url_5,Link to data source,Ссылка на источник данных
metadata_fields:source_url_6,Link to data source,Ссылка на источник данных
metadata_fields:target,Target name,Название задачи
metadata_fields:target_id,Target number,Номер задачи
metadata_fields:un_custodian_agency,UN custodian agency,Депозитарное учреждение ООН 
metadata_fields:un_designated_tier,UN designated tier,Назначенный ООН уровень
metadata_fields:quality_assurance,Quality assurance,Гарантия качества
metadata_fields:international_comparability,Comparability with international data/standards,Сопоставимость с международными данными / стандартами
metadata_fields:comments_limitations,Comments and limitations,Комментарии и ограничения
metadata_fields:rational_interpretation,Rational and interpretation,Рациональное и интерпретация
metadata_fields:copyright,Copyright,Авторские права
status:reporting_status,Reporting Status,Статус отчётности
status:overall_reporting_status,Overall Reporting Status,Общее состояние отчётности
status:reported_online,Reported online,Опубликован
status:statistics_in_progress,Statistics in progress,Статистика в процессе выполнения
status:exploring_data_sources,Exploring data sources,В процессе разработки
status:not_applicable,Not applicable,Непригодный
status:status_by_goal,Status by goal,Статус по цели
status:status_by_field,Status by %field,Статус по %field
search:search,Search,Поиск
search:indicator_search,Indicator search,Поиск показателя
search:search_results_for,Search results for,Результаты поиска по вашему запросу
search:found_in,found in,найдено в
search:keywords,Keywords,Ключевые слова
search:no_results,No results,Результатов не найдено
search:did_you_mean,did you mean,вы имеете в виду
general:indicator,Metric,Показатель
general:indicators,Metrics,Показатели
general:goal,Goal,Цель
general:goals,Goals,Цели
general:sdg,Sustainable Development Goals,Цели в области устойчивого развития
general:home,Home,Главная
general:loading,Loading search results,Загрузка результатов поиска
general:opens_new_window,opens in a new window,открывается в новой вкладке
general:target,Target,Задача
general:targets,Targets,Задачи
general:twitter,Twitter,Твиттеру
general:facebook,Facebook,Facebook
general:built_using_open_sdg,Built using Open SDG,Построен с использованием Open SDG
general:page,Page,веб-страница
general:pages,Pages,веб-страница
global_goals:1-short,Climate and weather,Climate and weather
global_goals:1-title,Climate and weather,Climate and weather
global_goals:2-short,Emissions,Emissions
global_goals:2-title,Emissions,Emissions
global_goals:3-short,Drivers,Drivers
global_goals:3-title,Drivers,Drivers
global_goals:4-short,Impacts,Impacts
global_goals:4-title,Impacts,Impacts
global_goals:5-short,Mitigation,Mitigation
global_goals:5-title,Mitigation,Mitigation
global_goals:6-short,Adaption,Adaption
global_goals:6-title,Adaption,Adaption
menu:menu,Menu,Меню
menu:reporting_status,Reporting Status,Состояние отчётности
menu:about,About,О нас
menu:publications,Publications,Публикации
menu:guidance,Guidance,Руководство
menu:faq,FAQ,Часто задаваемые вопросы
menu:contact_us,Contact us,Свяжитесь с нами
menu:cookies,Cookies,Cookies
menu:updates,Updates,
